Class Number:,Class Name:,Completed:,Group:,Credits:
CHEM 125,GENRAL CHEMISTRY,TRUE,CoE Common Core,1
CHEM 126,GENRAL CHEMISTRY,TRUE,CoE Common Core,1
CHEM 130,GENRAL CHEMISTRY LAB,TRUE,CoE Common Core,3
ENGR 100,INTRODUCTION TO ENGINEERING,TRUE,CoE Common Core,4
PHYSICS 140,GENERAL PHYSICS I,TRUE,CoE Common Core,4
PHYSICS 141,GENERAL PHYSICS I LAB,TRUE,CoE Common Core,1
PHYSICS 240,GENERAL PHYSICS II,TRUE,CoE Common Core,4
PHYSICS 241,GENERAL PHYSICS II LAB,TRUE,CoE Common Core,1
ENGR 101,INTRODUCTION TO COMPUTERS AND PROGRAMING,TRUE,CoE Common Core,4
MATH 115,CALCULUS I,TRUE,CoE Common Core,4
MATH 116,CALCULUS II,TRUE,CoE Common Core,4
MATH 215,CALCULUS III,TRUE,CoE Common Core,4
MATH 216,DIFFERENTIAL EQUATIONS,FALSE,CoE Common Core,4
ECON 101,INTRO TO ECONOMICS,TRUE,Intellectual Breadth,4
ENGLISH 101X,ENGLISH DEPARTMENTAL,TRUE,Intellectual Breadth,3
HISTORY 103X,HISTORY DEPARTMENTAL,TRUE,Intellectual Breadth,4
HISTART 300,STUDY ABROAD | ART IN THE GOLDEN CITY,FALSE,Intellectual Breadth,3
EECS 203,DISCRETE MATH,FALSE,CE Program Core Courses,4
EECS 215,INTRODUCTION TO ELECTRONIC CIRCUITS,FALSE,CE Program Core Courses,4
EECS 216,INTRODUCTION TO SIGNALS AND SYSTEMS,FALSE,CE Program Core Courses,4
EECS 270,INTRODUCTION TO LOGIC DESIGN,FALSE,CE Program Core Courses,4
EECS 280,PROGRAMMING AND INTRODUCTORY DATA STRUCTURES,TRUE,CE Program Core Courses,4
STATS 412,INTRO TO PROBABILITY,FALSE,CE Program Core Courses,3
EECS 370,INTRODUCTION TO COMPUTER ORGANIZATION,FALSE,CE Program Core Courses,4
EECS 496,MAJOR DESIGN EXPERIANCE PROFESSIONALISM,FALSE,CE Program Core Courses,2
TCHNCLCM 300,TECHNICAL COMMUNICATION FOR EECS,FALSE,CE Program Core Courses,1
TCHNCLCM 496,ADVANCED TECHNICAL COMMUNICATION FOR ECE,FALSE,CE Program Core Courses,2
EECS 281,DATA STRUCTURES AND ALGORITHMS,FALSE,Core Electives,4
EECS 312,DIGITAL INTEGRATED CIRCUTS,FALSE,Core Electives,4
EECS 351,INTRODUCTION TO DIGITAL SIGNAL PROCESSING,FALSE,Core Electives,4
EECS 373,INTRODUCTION TO EMBEDDED SYSTEM DESIGN,FALSE,Core Electives,4
EECS 442,COMPUTER VISION,FALSE,Upper Level CE Electives,4
EECS 461,EMBEDDED CONTROL SYSTEMS,FALSE,Upper Level CE Electives,4
EECS 471,APPLIED PARALLEL PROGRAMMING WITH GPUS,FALSE,Upper Level CE Electives,4
EECS 482,INTRODUCTION TO OPERATING SYSTEMS,FALSE,Upper Level CE Electives,4
EECS 483,COMPILER CONSTRUCTION,FALSE,Upper Level CE Electives,4
EECS 489,COMPUTER NETWORKS,FALSE,Upper Level CE Electives,4
EECS 491,INTRODUCTION TO DISTRIBUTED SYSTEMS,FALSE,Upper Level CE Electives,4
EECS 570,PARALLEL COMPUTER ARCHITECTURE,FALSE,Upper Level CE Electives,4
EECS 573,MICROARCHITECTURE,FALSE,Upper Level CE Electives,3
EECS 582,ADVANCED OPERATING SYSTEMS,FALSE,Upper Level CE Electives,4
EECS 583,ADVANCED COMPILERS,FALSE,Upper Level CE Electives,4
EECS 589,ADVANCED COMPUTER NETWORKS,FALSE,Upper Level CE Electives,4
EECS 627,VLSI DESIGN II,FALSE,Upper Level CE Electives,4
EECS 427,VLSI DESIGN I,FALSE,Major Design Experiance,4
EECS 452,DIGITAL SIGNAL PROCESSING LAB,FALSE,Major Design Experiance,4
EECS 467,AUTONOMOUS ROBOTICS DESIGN EXPERIENCE,FALSE,Major Design Experiance,4
EECS 470,COMPUTER ARCHITECTURE,FALSE,Major Design Experiance,4
EECS 473,ADVANCED EMBEDDED SYSTEMS,FALSE,Major Design Experiance,4
EECS 201,COMPUTER SCIENCE PRAGMATICS,FALSE,CE Flexible Technical Electives,1
ROB 101,COMPUTATIONAL LINEAR ALGEBRA,FALSE,CE Flexible Technical Electives,4
TO 414,ADVANCED ANALYTICS,FALSE,CE Flexible Technical Electives,3
MO 302,MARKETING MANAGEMENT,FALSE,Ross Minor,3
ACC 471,ACCOUTING PRINCIPALS,FALSE,Ross Minor,3
TO 302,MANAGING BUSINESS OPERATION,FALSE,Ross Minor,3
STRATEGY 302,BUSINESS STRATEGY,FALSE,Ross Minor,3