Class Number:	Prerequisites:
ENGR 101	
MATH 115	
MATH 116	
MATH 215	MATH 116
MATH 216	MATH 116
EECS 203	
EECS 215	
EECS 216	
EECS 270	
EECS 280	
STATS 412	
EECS 370	
EECS 496	
TCHNCLCM 300	
TCHNCLCM 496	
EECS 281	EECS 203, EECS 280
EECS 312	EECS 215, MATH 216
EECS 351	EECS 216
EECS 373	EECS 270, EECS 370
EECS 442	EECS 281, ROB 101, EECS 367 OR EECS 373
EECS 461	EECS 216
EECS 471	EECS 281, EECS 370
EECS 482	EECS 281, EECS 370
EECS 483	EECS 281, EECS 370
EECS 489	EECS 281, EECS 370
EECS 491	EECS 482
EECS 570	EECS 470
EECS 573	EECS 470
EECS 578	EECS 470
EECS 582	EECS 482
EECS 583	EECS 281, EECS 370
EECS 589	EECS 489
EECS 627	EECS 427
EECS 427	EECS 270, EECS 312
EECS 452	EECS 280, EECS 351 OR EECS 455
EECS 467	EECS 281, ROB 101, EECS 367 OR EECS 373
EECS 470	EECS 270, EECS 370
EECS 473	EECS 373, EECS 215 OR EECS 281
ROB 101	